##########   State Bank Of India   #############
7,46,3.50
46,180,4.50
180,211,5.00
211,365,5.00
365,730,5.70
730,1095,5.70
1095,1825,5.70
1825,3650,5.70
##########   DCB  #############
7,15,5.20%
15,46,5.45%
46,91,5.95%
91,180,6.15%
180,365,6.65%
365,366,6.75%
366,455,7.05%
455,545,7.15%
545,546,7.50%
546,730,7.40%
730,731,7.30%
731,1095,7.30%
1095,1096,7.60%
1096,1826,7.50%
1826,3651,7.25%
##########   Federal  #############
7,15,3.50%
15,46,4.00%
46,61,4.25%
61,91,4.75%
91,181,5.25%
181,271,5.65%
271,365,5.75%
365,366,6.00%
366,3651,6.25%
##########   City   #############
7,11,2.75%
11,15,2.75%
15,26,3.00%
26,36,3.00%
36,46,4.00%
46,61,4.00%
61,91,4.00%
91,121,3.50%
121,151,3.50%
151,181,3.50%
181,271,3.50%
271,365,3.50%
365,401,3.50%
401,541,3.50%
541,732,3.75%
732,1096,4.00%
1096,3651,4.00%
